"Timestamp","Age:","Occupation (i.e. student, developer, teacher,...):","On a scale of 1 to 5, how satisfied are you with the overall user experience?","How easy was it to navigate the platform?","Have you experienced any issues with loading time or responsiveness?","If yes, please explain.","How would you rate the functionality of the following features? [Login]","How would you rate the functionality of the following features? [Signup]","How would you rate the functionality of the following features? [Account setting]","How would you rate the functionality of the following features? [Play game]","How would you rate the functionality of the following features? [Game history]","What is one thing you would like to see improved?","Are there any new features you would like to suggest?","Please share any additional comments or suggestions."
"2024/10/14 1:49:46 pm GMT+11","32","Developer","5","Very easy","No","","Excellent","Excellent","Excellent","Excellent","Good","N/A","N/A","nice GUI"
"2024/10/14 1:50:26 pm GMT+11","21","student","5","Very easy","No","","Excellent","Excellent","Excellent","Excellent","Excellent","More features","More settings option",""
"2024/10/14 2:19:25 pm GMT+11","24","student","4","Easy","Yes","playing with the model is somewwhat sloww to return its move","Excellent","Average","Good","Good","Good","Faster response time in signup and play game","multiple level of difficulty",""
"2024/10/14 4:18:20 pm GMT+11","20","student","5","Very easy","No","","Excellent","Excellent","Excellent","Average","Excellent","change the arrangement of the gameboard.","no",""
"2024/10/14 5:26:34 pm GMT+11","21","Student","5","Neutral","No","","Excellent","Good","Good","Good","Good","Overall picture quality","Na",""
"2024/10/14 6:23:09 pm GMT+11","30","Teacher","4","Neutral","No","","Excellent","Good","Average","Good","Excellent","The account settings","nothing",""
"2024/10/14 6:33:41 pm GMT+11","19 ","Student","5","Easy","No","","Good","Good","Excellent","Excellent","Good","Playboard images","Bigger board of tic tac toe","Maybe you can make the playboard page more engaging and more attractive"
"2024/10/14 6:34:47 pm GMT+11","17","student","4","Very easy","No","","Excellent","Good","Good","Good","Average","The game history","more game modes","The game history is pretty average and could get some improvement"
"2024/10/14 6:43:29 pm GMT+11","28","pharmacist ","5","Neutral","No","","Average","Good","Good","Good","Excellent","The login page could have more features ","none","Its already quite good"
"2024/10/14 6:58:30 pm GMT+11","26","Data analyst","5","Very easy","No","","Good","Good","Excellent","Excellent","Excellent","The signup could have less ","More game modes",""
"2024/10/14 7:27:52 pm GMT+11","21","student","5","Very easy","No","","Excellent","Good","Excellent","Excellent","Excellent","The signup page might be too full","none",""
"2024/10/14 7:29:05 pm GMT+11","27","developer ","4","Easy","No","","Good","Average","Good","Excellent","Excellent","The signup page needs us to fill in unused info","none",""
"2024/10/14 7:30:17 pm GMT+11","22","Student ","4","Easy","Yes","It was kinda slow","Excellent","Good","Excellent","Excellent","Good","The loading was kind of slow, make it faster","None",""
"2024/10/14 7:43:31 pm GMT+11","21","student","3","Neutral","No","","Average","Average","Average","Average","Average","Design of the web","None",""
"2024/10/14 7:44:27 pm GMT+11","23","student","4","Easy","No","","Average","Good","Good","Average","Excellent","Game board","None",""
"2024/10/14 7:58:39 pm GMT+11","20","Student","4","Very easy","No","","Good","Excellent","Good","Good","Excellent","bigger board option","add a bigger board option for the game",""
"2024/10/15 1:47:31 pm GMT+11","22","student","4","Easy","No","","Good","Excellent","Excellent","Good","Excellent","game modes","none",""
"2024/10/15 1:49:39 pm GMT+11","27","developer","4","Very easy","Yes","Slow response of AI making the moves","Good","Good","Excellent","Excellent","Excellent","Faster response rate of AI game moves","Bigger board and more game modes",""
"2024/10/15 1:54:42 pm GMT+11","25","Teacher","4","Neutral","Yes","Kind of slow","Good","Excellent","Good","Good","Good","The responsiveness","None",""
"2024/10/15 11:56:35 pm GMT+11","22","student","4","Easy","Yes","sign up takes a bit long","Excellent","Average","Average","Good","Good","maybe more features?","many levels of game play",""
"2024/10/15 11:57:47 pm GMT+11","28","software engineer","4","Easy","No","","Good","Good","Average","Good","Excellent","responsiveness of UI","more detail game history",""
"2024/10/16 9:06:54 pm GMT+11","30","Teacher","3","Neutral","Yes","When sign up it was kind of slow ","Excellent","Average","Good","Good","Excellent","The speed of sign up ","Nothing ",""
"2024/10/16 9:06:57 pm GMT+11","30","Teacher","3","Neutral","Yes","When sign up it was kind of slow ","Excellent","Average","Good","Good","Excellent","The speed of sign up ","Nothing ",""
"2024/10/16 9:07:51 pm GMT+11","24","Student","4","Very easy","No","","Excellent","Good","Excellent","Excellent","Excellent","Signup ","Game modes ",""
"2024/10/16 9:08:56 pm GMT+11","21","Student ","5","Very easy","No","","Excellent","Excellent","Excellent","Excellent","Excellent","None","More game board ",""
"2024/10/16 9:11:09 pm GMT+11","19","Student ","4","Neutral","No","","Excellent","Good","Good","Good","Excellent","Game board ","None ",""
"2024/10/16 9:12:01 pm GMT+11","21","Student ","4","Very easy","No","","Excellent","Excellent","Good","Good","Excellent","Account settings ","None",""
"2024/10/16 9:12:32 pm GMT+11","19","Student ","5","Very easy","No","","Excellent","Excellent","Excellent","Excellent","Excellent","None itâ€™s good already ","None",""
"2024/10/16 9:14:14 pm GMT+11","23","Student ","4","Easy","No","","Good","Good","Average","Good","Excellent","The settings ","None ",""
"2024/10/16 9:15:04 pm GMT+11","25 ","Fresh graduate ","5","Easy","No","","Excellent","Excellent","Excellent","Good","Good","The game board ","Add interesting twists to the game",""
"2024/10/16 9:15:42 pm GMT+11","23","student","4","Neutral","No","","Excellent","Good","Excellent","Excellent","Average","sometimes game board responds a bit weird","export feature for game history",""
"2024/10/16 9:15:48 pm GMT+11","21","Student ","5","Easy","No","","Excellent","Good","Good","Excellent","Excellent","None ","None",""
"2024/10/16 9:16:32 pm GMT+11","22","student","5","Very easy","No","","Excellent","Good","Average","Excellent","Excellent","some editing in account setting is lagging","looks good",""
"2024/10/16 9:17:39 pm GMT+11","21","Student ","5","Very easy","No","","Excellent","Excellent","Good","Good","Excellent","The game board ","None ",""
"2024/10/16 9:19:16 pm GMT+11","20","Student ","4","Easy","No","","Good","Excellent","Good","Excellent","Excellent","Settings page","None",""